formula,Log(initial permeability),Log(max permeability),Losses,Remanent induction,Coercivity,Saturation polarization,Resistivity
Fe1.000,4.941642423,7.590852124,8640.0,9000.0,230.77,2.152,10.5
Fe0.994Si0.006,4.919980926,8.258422462,4980.0,9300.0,129.71,2.133,14.7
Fe0.986Si0.014,4.86753445,8.885994315,2715.0,9400.0,71.62,2.119,23.1
Fe0.969Si0.031,4.779123493,9.058354015,2410.0,9500.0,63.66,2.081,31.9
Fe0.950Si0.050,5.298317367,8.892886141,1567.0,7500.0,42.18,2.043,42.9
Fe0.942Si0.058,5.247024072,8.973351414,1591.0,8000.0,39.79,,
Fe0.933Si0.067,5.703782475,8.881836305,1367.0,6700.0,41.38,1.951,52.9
Fe0.918Si0.082,6.214608098,8.66733585,1828.0,7000.0,51.73,1.919,63.3
Fe0.894Si0.106,6.173786104,9.441452093,1320.0,9500.0,32.63,1.837,77.0
Fe0.886Si0.114,6.214608098,9.893437217,927.0,9500.0,23.08,,
Fe0.875Si0.125,6.429719478,10.1266311,794.0,9800.0,19.89,1.789,84.1
Fe0.861Si0.139,7.003065459,9.392661929,1328.0,9100.0,32.63,1.712,90.4
Fe0.839Si0.161,6.937314081,8.76561455,1657.0,6400.0,42.97,,
Fe0.822Si0.178,6.907755279,8.621553207,1456.0,6500.0,43.77,1.545,95.0
Fe0.806Si0.194,6.802394763,8.422882512,1636.0,4500.0,38.2,,
Fe0.785Si0.215,6.507277712,8.199738961,1457.0,3300.0,46.95,1.392,93.2
Fe0.776Si0.224,6.551080335,8.092545264,1767.0,3200.0,43.77,,
Fe0.755Si0.245,6.684611728,8.101677747,1733.0,3500.0,52.52,,
Fe0.743Si0.257,6.040254711,7.575584652,2068.0,3000.0,79.58,1.288,69.1
Fe0.982Al0.018,6.173786104,9.163248764,1856.0,9300.0,47.75,,20.5
Fe0.978Si0.008Al0.014,6.476972363,9.011889433,1950.0,9100.0,47.75,,
Fe0.970Si0.018Al0.012,6.040254711,9.510444964,1510.0,9500.0,38.2,,28.0
Fe0.947Si0.037Al0.016,6.214608098,9.460320577,1255.0,9000.0,33.42,,43.3
