sum_Atomic_Number,sum_Atomic_Weight,sum_Period,sum_group,sum_families,sum_Metal,sum_Nonmetal,sum_Mendeleev_Number,sum_l_quantum_number,sum_Atomic_Radius,sum_Miracle_Radius_[pm],sum_Covalent_Radius,sum_Zunger_radii_sum,sum_ionic_radius,sum_crystal_radius,sum_Pauling_Electronegativity,sum_MB_electonegativity,sum_Gordy_electonegativity,sum_Mulliken_EN,sum_Allred-Rockow_electronegativity,sum_metallic_valence,sum_number_of_valence_electrons,sum_gilmor_number_of_valence_electron,sum_valence_p,sum_valence_d,sum_Number_of_unfilled_p_valence_electrons,sum_Number_of_unfilled_d_valence_electrons,sum_outer_shell_electrons,sum_1st_ionization_potential_(kJ/mol),sum_polarizability(A^3),sum_Melting_point_(K),sum_Boiling_Point_(K),sum_Density_(g/mL),sum_specific_heat_(J/g_K)_,sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_thermal_conductivity_(W/(m_K))_,sum_heat_atomization(kJ/mol),sum_Cohesive_energy,avg_Atomic_Number,avg_Atomic_Weight,avg_Period,avg_group,avg_families,avg_Metal,avg_Nonmetal,avg_Mendeleev_Number,avg_l_quantum_number,avg_Atomic_Radius,avg_Miracle_Radius_[pm],avg_Covalent_Radius,avg_Zunger_radii_sum,avg_ionic_radius,avg_crystal_radius,avg_Pauling_Electronegativity,avg_MB_electonegativity,avg_Gordy_electonegativity,avg_Mulliken_EN,avg_Allred-Rockow_electronegativity,avg_metallic_valence,avg_number_of_valence_electrons,avg_gilmor_number_of_valence_electron,avg_valence_p,avg_valence_d,avg_Number_of_unfilled_p_valence_electrons,avg_Number_of_unfilled_d_valence_electrons,avg_outer_shell_electrons,avg_1st_ionization_potential_(kJ/mol),avg_polarizability(A^3),avg_Melting_point_(K),avg_Boiling_Point_(K),avg_Density_(g/mL),avg_specific_heat_(J/g_K)_,avg_heat_of_fusion_(kJ/mol)_,avg_heat_of_vaporization_(kJ/mol)_,avg_thermal_conductivity_(W/(m_K))_,avg_heat_atomization(kJ/mol),avg_Cohesive_energy,dev_Atomic_Number,dev_Atomic_Weight,dev_Period,dev_group,dev_families,dev_Metal,dev_Nonmetal,dev_Mendeleev_Number,dev_l_quantum_number,dev_Atomic_Radius,dev_Miracle_Radius_[pm],dev_Covalent_Radius,dev_Zunger_radii_sum,dev_ionic_radius,dev_crystal_radius,dev_Pauling_Electronegativity,dev_MB_electonegativity,dev_Gordy_electonegativity,dev_Mulliken_EN,dev_Allred-Rockow_electronegativity,dev_metallic_valence,dev_number_of_valence_electrons,dev_gilmor_number_of_valence_electron,dev_valence_p,dev_valence_d,dev_Number_of_unfilled_p_valence_electrons,dev_Number_of_unfilled_d_valence_electrons,dev_outer_shell_electrons,dev_1st_ionization_potential_(kJ/mol),dev_polarizability(A^3),dev_Melting_point_(K),dev_Boiling_Point_(K),dev_Density_(g/mL),dev_specific_heat_(J/g_K)_,dev_heat_of_fusion_(kJ/mol)_,dev_heat_of_vaporization_(kJ/mol)_,dev_thermal_conductivity_(W/(m_K))_,dev_heat_atomization(kJ/mol),dev_Cohesive_energy,target
26.0,55.847,4.0,8.0,4.0,1.0,0.0,55.0,2.0,1.56,125.0,1.25,2.11,1.4,0.69,1.83,1.67,3.419,4.06,1.8,5.78,8.0,5.0,0.0,6.0,6.0,4.0,2.0,762.0,8.4,1808.15,3023.15,7.86,0.44,13.8,349.6,80.2,418.0,4.28,26.0,55.847,4.0,8.0,4.0,1.0,0.0,55.0,2.0,1.56,125.0,1.25,2.11,1.4,0.69,1.83,1.67,3.419,4.06,1.8,5.78,8.0,5.0,0.0,6.0,6.0,4.0,2.0,762.0,8.4,1808.15,3023.15,7.86,0.44,13.8,349.6,80.2,418.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152
25.928,55.680431,3.9939999999999998,8.036,4.012,0.994,0.006,55.138000000000005,1.994,1.5573000000000001,124.91,1.24916,2.10586,1.3981999999999999,0.6882599999999999,1.8304200000000002,1.67186,3.4235972,4.06426,1.800696,5.7693200000000004,7.976,4.994,0.012,5.964,5.988,4.036,2.012,762.15,8.382000000000001,1807.4,3020.78,7.8268200000000006,0.44162,14.0205,349.80772,80.6068,418.204,4.2821,25.928,55.680431,3.9939999999999998,8.036,4.012,0.994,0.006,55.138000000000005,1.994,1.5573000000000001,124.91,1.24916,2.10586,1.3981999999999999,0.6882599999999999,1.8304200000000002,1.67186,3.4235972,4.06426,1.800696,5.7693200000000004,7.976,4.994,0.012,5.964,5.988,4.036,2.012,762.15,8.382000000000001,1807.4,3020.78,7.8268200000000006,0.44162,14.0205,349.80772,80.6068,418.204,4.2821,0.14313599999999918,0.33113917200000265,0.011928000000000225,0.07156799999999959,0.023855999999999572,0.011928000000000005,0.011928,0.27434400000000514,0.011928000000000005,0.0053675999999999256,0.17892000000000335,0.001669919999999952,0.008230320000000032,0.0035784000000000224,0.0034591200000000733,0.0008349600000000849,0.003697679999999973,0.009139233600000077,0.00846888000000037,0.001383648000000029,0.021231839999999804,0.04771200000000002,0.011928000000000225,0.023856,0.07156799999999959,0.023855999999999572,0.07156799999999959,0.02385600000000001,0.29819999999997754,0.03578399999999892,1.491,4.711559999999892,0.06596183999999977,0.00322056000000001,0.43835399999999947,0.4129473599999949,0.8087184000000041,0.40555200000000763,0.00417479999999955,2.133
25.832,55.458339,3.9859999999999998,8.084,4.028,0.986,0.014,55.321999999999996,1.986,1.5537,124.79,1.24804,2.10034,1.3958,0.68594,1.83098,1.67434,3.4297268,4.069939999999999,1.801624,5.75508,7.944,4.986,0.028,5.916,5.972,4.084,2.028,762.35,8.358,1806.4,3017.6200000000003,7.78258,0.44378,14.314499999999999,350.08468,81.14920000000001,418.47599999999994,4.2849,25.832,55.458339,3.9859999999999998,8.084,4.028,0.986,0.014,55.321999999999996,1.986,1.5537,124.79,1.24804,2.10034,1.3958,0.68594,1.83098,1.67434,3.4297268,4.069939999999999,1.801624,5.75508,7.944,4.986,0.028,5.916,5.972,4.084,2.028,762.35,8.358,1806.4,3017.6200000000003,7.78258,0.44378,14.314499999999999,350.08468,81.14920000000001,418.47599999999994,4.2849,0.33129599999999926,0.7664394919999991,0.02760800000000023,0.16564799999999963,0.0552159999999996,0.027608000000000014,0.027608,0.6349839999999958,0.027608000000000014,0.012423599999999972,0.41411999999999394,0.0038651199999999615,0.019049519999999785,0.00828239999999998,0.008006319999999952,0.0019325599999999792,0.00855848000000001,0.021153249600000035,0.01960167999999941,0.0032025279999998504,0.04914223999999984,0.11043200000000006,0.02760800000000023,0.055216,0.16564799999999963,0.0552159999999996,0.16564799999999963,0.05521600000000003,0.6902000000000221,0.08282399999999981,3.451,10.905159999999753,0.15267224000000007,0.007454160000000005,1.0145939999999982,0.9557889599999698,1.8718224000000045,0.9386719999999439,0.009662800000000117,2.119
25.628,54.986393500000005,3.969,8.186,4.062,0.969,0.031,55.713,1.9689999999999999,1.5460500000000001,124.535,1.24566,2.08861,1.3906999999999998,0.6810099999999999,1.83217,1.6796099999999998,3.4427522,4.0820099999999995,1.803596,5.724819999999999,7.8759999999999994,4.968999999999999,0.062,5.814,5.938,4.186,2.062,762.775,8.307,1804.275,3010.905,7.68857,0.44837,14.939250000000001,350.67322,82.3018,419.054,4.290850000000001,25.628,54.986393500000005,3.969,8.186,4.062,0.969,0.031,55.713,1.9689999999999999,1.5460500000000001,124.535,1.24566,2.08861,1.3906999999999998,0.6810099999999999,1.83217,1.6796099999999998,3.4427522,4.0820099999999995,1.803596,5.724819999999999,7.8759999999999994,4.968999999999999,0.062,5.814,5.938,4.186,2.062,762.775,8.307,1804.275,3010.905,7.68857,0.44837,14.939250000000001,350.67322,82.3018,419.054,4.290850000000001,0.7209359999999999,1.667855396999996,0.06007800000000013,0.36046799999999996,0.12015600000000026,0.06007800000000003,0.060078,1.3817940000000009,0.06007800000000013,0.02703509999999991,0.9011700000000031,0.008410920000000006,0.04145381999999981,0.018023400000000075,0.01742262000000005,0.004205459999999999,0.018624179999999907,0.0460317636000001,0.04265537999999987,0.006969047999999933,0.10693884000000084,0.24031200000000053,0.06007800000000055,0.120156,0.36046799999999996,0.12015600000000026,0.36046799999999996,0.12015599999999985,1.5019499999999786,0.18023399999999998,7.50975,23.7308099999999,0.33223134,0.01622105999999999,2.2078665000000006,2.079900359999993,4.073288399999997,2.0426519999999755,0.02102730000000043,2.081
25.4,54.458925,3.9499999999999997,8.299999999999999,4.1,0.95,0.05,56.15,1.95,1.5375,124.25,1.243,2.0755,1.3849999999999998,0.6755,1.8335,1.6854999999999998,3.45731,4.0954999999999995,1.8058,5.691,7.8,4.95,0.1,5.699999999999999,5.8999999999999995,4.3,2.1,763.25,8.25,1801.9,3003.3999999999996,7.5835,0.45349999999999996,15.6375,351.331,83.59,419.7,4.297499999999999,25.4,54.458925,3.9499999999999997,8.299999999999999,4.1,0.95,0.05,56.15,1.95,1.5375,124.25,1.243,2.0755,1.3849999999999998,0.6755,1.8335,1.6854999999999998,3.45731,4.0954999999999995,1.8058,5.691,7.8,4.95,0.1,5.699999999999999,5.8999999999999995,4.3,2.1,763.25,8.25,1801.9,3003.3999999999996,7.5835,0.45349999999999996,15.6375,351.331,83.59,419.7,4.297499999999999,1.1400000000000012,2.637342500000001,0.09500000000000024,0.5699999999999991,0.18999999999999967,0.09500000000000004,0.095,2.1849999999999987,0.09500000000000004,0.04274999999999997,1.4249999999999998,0.0132999999999999,0.06554999999999997,0.0285000000000001,0.027549999999999956,0.006649999999999845,0.029449999999999865,0.07278900000000005,0.06744999999999987,0.01102000000000002,0.1691000000000004,0.38000000000000017,0.09499999999999983,0.19,0.5700000000000006,0.19000000000000047,0.5699999999999998,0.19000000000000009,2.375,0.2850000000000003,11.875,37.52500000000041,0.5253500000000004,0.025649999999999958,3.491249999999998,3.2888999999999955,6.441000000000001,3.2299999999999898,0.03324999999999925,2.043
25.196,53.986979500000004,3.9330000000000003,8.402000000000001,4.134,0.933,0.067,56.541000000000004,1.933,1.5298500000000002,123.995,1.24062,2.06377,1.3799000000000001,0.67057,1.8346900000000002,1.69077,3.4703354000000006,4.10757,1.8077720000000002,5.6607400000000005,7.732,4.933,0.134,5.598000000000001,5.8660000000000005,4.402,2.1340000000000003,763.6750000000001,8.199000000000002,1799.7750000000003,2996.685,7.489490000000001,0.45809000000000005,16.26225,351.91954000000004,84.74260000000001,420.278,4.303450000000001,25.196,53.986979500000004,3.9330000000000003,8.402000000000001,4.134,0.933,0.067,56.541000000000004,1.933,1.5298500000000002,123.995,1.24062,2.06377,1.3799000000000001,0.67057,1.8346900000000002,1.69077,3.4703354000000006,4.10757,1.8077720000000002,5.6607400000000005,7.732,4.933,0.134,5.598000000000001,5.8660000000000005,4.402,2.1340000000000003,763.6750000000001,8.199000000000002,1799.7750000000003,2996.685,7.489490000000001,0.45809000000000005,16.26225,351.91954000000004,84.74260000000001,420.278,4.303450000000001,1.5002639999999987,3.470798252999998,0.12502199999999977,0.7501320000000009,0.2500440000000003,0.12502199999999997,0.12502200000000002,2.8755060000000037,0.12502199999999997,0.05625989999999991,1.8753299999999964,0.017503079999999945,0.08626518,0.03750659999999981,0.03625637999999995,0.008751540000000061,0.03875682000000016,0.09579185640000051,0.0887656200000003,0.01450255200000009,0.2225391599999998,0.5000879999999999,0.12502200000000016,0.25004400000000004,0.7501319999999994,0.25004399999999954,0.7501320000000001,0.2500440000000003,3.125550000000059,0.3750659999999989,15.627749999999804,49.38369000000013,0.6913716599999996,0.03375594000000004,4.5945585000000015,4.328261640000015,8.476491600000006,4.2507480000000175,0.04375770000000034,1.951
25.016000000000002,53.570557,3.918,8.492,4.164,0.918,0.082,56.886,1.9180000000000001,1.5231000000000001,123.77,1.23852,2.05342,1.3754,0.66622,1.8357400000000001,1.6954200000000001,3.4818284000000004,4.11822,1.809512,5.634040000000001,7.672000000000001,4.918,0.164,5.508,5.836,4.492,2.164,764.0500000000001,8.154,1797.9,2990.76,7.406540000000001,0.46214,16.8135,352.43884,85.7596,420.788,4.308700000000001,25.016000000000002,53.570557,3.918,8.492,4.164,0.918,0.082,56.886,1.9180000000000001,1.5231000000000001,123.77,1.23852,2.05342,1.3754,0.66622,1.8357400000000001,1.6954200000000001,3.4818284000000004,4.11822,1.809512,5.634040000000001,7.672000000000001,4.918,0.164,5.508,5.836,4.492,2.164,764.0500000000001,8.154,1797.9,2990.76,7.406540000000001,0.46214,16.8135,352.43884,85.7596,420.788,4.308700000000001,1.8066239999999985,4.179549348,0.15055199999999988,0.9033120000000008,0.30110399999999976,0.15055199999999996,0.15055200000000002,3.4626960000000024,0.15055199999999988,0.06774839999999993,2.2582800000000036,0.02107727999999994,0.10388087999999987,0.045165599999999945,0.04366007999999992,0.010538640000000054,0.04667112000000019,0.1153529424000003,0.10689192000000032,0.017464031999999963,0.26798255999999976,0.6022079999999995,0.15055199999999988,0.30110400000000004,0.903312,0.30110399999999976,0.903312,0.30110400000000015,3.7638000000000575,0.4516560000000004,18.819,59.468039999999895,0.8325525599999999,0.04064904,5.532786,5.212110240000005,10.207425600000002,5.11876800000001,0.05269320000000048,1.919
24.728,52.904281000000005,3.894,8.636,4.212,0.894,0.106,57.438,1.8940000000000001,1.5123000000000002,123.41,1.23516,2.03686,1.3682,0.65926,1.83742,1.70286,3.5002172000000003,4.13526,1.812296,5.5913200000000005,7.5760000000000005,4.894,0.212,5.364,5.788,4.636,2.212,764.6500000000001,8.082,1794.9,2981.28,7.27382,0.46862,17.695500000000003,353.26972000000006,87.38680000000001,421.604,4.3171,24.728,52.904281000000005,3.894,8.636,4.212,0.894,0.106,57.438,1.8940000000000001,1.5123000000000002,123.41,1.23516,2.03686,1.3682,0.65926,1.83742,1.70286,3.5002172000000003,4.13526,1.812296,5.5913200000000005,7.5760000000000005,4.894,0.212,5.364,5.788,4.636,2.212,764.6500000000001,8.082,1794.9,2981.28,7.27382,0.46862,17.695500000000003,353.26972000000006,87.38680000000001,421.604,4.3171,2.274335999999999,5.261581571999997,0.18952799999999992,1.1371679999999995,0.37905599999999984,0.18952799999999997,0.189528,4.359144000000002,0.18952799999999992,0.08528759999999988,2.8429200000000026,0.02653391999999996,0.13077432,0.056858399999999844,0.05496311999999998,0.01326695999999997,0.05875368000000009,0.14521635360000018,0.13456488000000008,0.02198524799999988,0.3373598399999998,0.7581119999999997,0.18952799999999992,0.379056,1.137168,0.37905599999999984,1.137168,0.37905600000000017,4.738200000000072,0.5685839999999998,23.691,74.86355999999992,1.0480898400000005,0.05117255999999998,6.965154000000001,6.561459360000033,12.849998400000004,6.443951999999989,0.06633479999999972,1.837
24.5,52.37681250000001,3.875,8.75,4.25,0.875,0.125,57.875,1.875,1.50375,123.125,1.2325,2.0237499999999997,1.3624999999999998,0.65375,1.83875,1.70875,3.514775,4.14875,1.8145,5.5575,7.5,4.875,0.25,5.25,5.75,4.75,2.25,765.125,8.025,1792.525,2973.775,7.16875,0.47375,18.39375,353.9275,88.675,422.25,4.32375,24.5,52.37681250000001,3.875,8.75,4.25,0.875,0.125,57.875,1.875,1.50375,123.125,1.2325,2.0237499999999997,1.3624999999999998,0.65375,1.83875,1.70875,3.514775,4.14875,1.8145,5.5575,7.5,4.875,0.25,5.25,5.75,4.75,2.25,765.125,8.025,1792.525,2973.775,7.16875,0.47375,18.39375,353.9275,88.675,422.25,4.32375,2.625,6.072828124999996,0.21875,1.3125,0.4375,0.21875,0.21875,5.03125,0.21875,0.0984375000000001,3.28125,0.03062500000000004,0.1509375000000001,0.06562500000000004,0.06343749999999991,0.015312500000000007,0.06781250000000005,0.16760625000000012,0.15531250000000008,0.025374999999999953,0.38937500000000014,0.875,0.21875,0.4375,1.3125,0.4375,1.3125,0.4375,5.46875,0.65625,27.34375,86.40625,1.2096875000000002,0.0590625,8.0390625,7.57312499999999,14.831249999999995,7.4375,0.07656250000000009,1.789
24.332,51.9881515,3.8609999999999998,8.834,4.2780000000000005,0.861,0.139,58.196999999999996,1.861,1.4974500000000002,122.915,1.23054,2.01409,1.3582999999999998,0.6496899999999999,1.83973,1.71309,3.5255018,4.15869,1.816124,5.53258,7.444,4.861,0.278,5.166,5.722,4.834,2.278,765.475,7.9830000000000005,1790.775,2968.245,7.09133,0.47753,18.908250000000002,354.41218000000003,89.6242,422.726,4.3286500000000006,24.332,51.9881515,3.8609999999999998,8.834,4.2780000000000005,0.861,0.139,58.196999999999996,1.861,1.4974500000000002,122.915,1.23054,2.01409,1.3582999999999998,0.6496899999999999,1.83973,1.71309,3.5255018,4.15869,1.816124,5.53258,7.444,4.861,0.278,5.166,5.722,4.834,2.278,765.475,7.9830000000000005,1790.775,2968.245,7.09133,0.47753,18.908250000000002,354.41218000000003,89.6242,422.726,4.3286500000000006,2.8722959999999995,6.6449371170000004,0.23935800000000018,1.4361479999999998,0.47871600000000036,0.23935800000000002,0.23935800000000002,5.505233999999997,0.23935800000000002,0.10771109999999992,3.5903699999999956,0.03351012000000001,0.16515701999999996,0.07180740000000002,0.06941382000000004,0.01675505999999999,0.07420098000000006,0.18339609959999983,0.16994418000000028,0.027765528000000005,0.42605724,0.9574320000000001,0.23935800000000018,0.47871600000000003,1.4361479999999998,0.4787159999999997,1.4361479999999998,0.47871600000000003,5.983950000000016,0.7180739999999999,29.91975,94.54641000000015,1.3236497400000002,0.06462666,8.796406500000002,8.286573960000009,16.2284724,8.138172,0.08377530000000018,1.712
