formula,Log(initial permeability),Log(max permeability),Losses,Remanent induction,Coercivity,Saturation polarization,Resistivity
Fe100.0,4.941642423,7.590852124,8640.0,9000.0,230.77,2.152,10.5
Fe99.4Si0.6,4.919980926,8.258422462,4980.0,9300.0,129.71,2.133,14.7
Fe98.6Si1.4,4.86753445,8.885994315,2715.0,9400.0,71.62,2.119,23.1
Fe96.9Si3.1,4.779123493,9.058354015,2410.0,9500.0,63.66,2.081,31.9
Fe95.0Si5.0,5.298317367,8.892886141,1567.0,7500.0,42.18,2.043,42.9
Fe94.2Si5.8,5.247024072,8.973351414,1591.0,8000.0,39.79,,
Fe93.3Si6.7,5.703782475,8.881836305,1367.0,6700.0,41.38,1.951,52.9
Fe91.8Si8.2,6.214608098,8.66733585,1828.0,7000.0,51.73,1.919,63.3
Fe89.4Si10.6,6.173786104,9.441452093,1320.0,9500.0,32.63,1.837,77.0
Fe88.6Si11.4,6.214608098,9.893437217,927.0,9500.0,23.08,,
Fe87.5Si12.5,6.429719478,10.1266311,794.0,9800.0,19.89,1.789,84.1
Fe86.1Si13.9,7.003065459,9.392661929,1328.0,9100.0,32.63,1.712,90.4
Fe83.9Si16.1,6.937314081,8.76561455,1657.0,6400.0,42.97,,
Fe82.2Si17.8,6.907755279,8.621553207,1456.0,6500.0,43.77,1.545,95.0
Fe80.6Si19.4,6.802394763,8.422882512,1636.0,4500.0,38.2,,
Fe78.5Si21.5,6.507277712,8.199738961,1457.0,3300.0,46.95,1.392,93.2
Fe77.6Si22.4,6.551080335,8.092545264,1767.0,3200.0,43.77,,
Fe75.5Si24.5,6.684611728,8.101677747,1733.0,3500.0,52.52,,
Fe74.3Si25.7,6.040254711,7.575584652,2068.0,3000.0,79.58,1.288,69.1
Fe98.2Al1.8,6.173786104,9.163248764,1856.0,9300.0,47.75,,20.5
Fe97.8Si0.8Al1.4,6.476972363,9.011889433,1950.0,9100.0,47.75,,
Fe97.0Si1.8Al1.2,6.040254711,9.510444964,1510.0,9500.0,38.2,,28.0
Fe94.7Si3.7Al1.6,6.214608098,9.460320577,1255.0,9000.0,33.42,,43.3
Fe92.5Si5.5Al2.0,6.620073207,9.441452093,1195.0,8700.0,31.83,,54.9
Fe91.9Si6.3Al1.8,6.887552572,9.413281216,1137.0,8800.0,29.44,,59.2
Fe91.0Si7.0Al2.0,6.907755279,9.46498259,1092.0,8400.0,26.26,,63.6
Fe89.8Si8.9Al1.4,6.476972363,9.98506754,702.0,9000.0,21.49,,78.3
Fe88.0Si10.8Al1.2,6.684611728,10.25765937,556.0,9000.0,14.32,,84.8
Fe85.2Si13.3Al1.5,6.429719478,10.37036129,664.0,9800.0,16.71,,92.3
Fe84.0Si14.6Al1.3,6.802394763,8.354674262,1572.0,4100.0,47.75,,94.8
Fe82.7Si15.6Al1.7,6.98471632,8.687779492,1752.0,6600.0,47.75,,101.4
Fe80.5Si17.8Al1.7,6.445719819,7.98616486,1552.0,2600.0,39.79,,97.0
Fe78.8Si19.4Al1.9,6.733401892,8.299037182,1720.0,4200.0,45.36,,85.9
Fe77.8Si20.5Al1.7,6.70930434,7.926602599,1500.0,2300.0,43.77,,70.3
Fe76.0Si22.6Al1.5,6.253828812,7.620705087,1607.0,1900.0,47.75,,57.7
Fe74.1Si24.2Al1.6,5.991464547,7.770645234,1700.0,2700.0,55.7,,53.2
Fe73.1Si25.1Al1.8,5.560681631,7.426549072,3000.0,3300.0,95.49,,68.2
Fe94.4Al5.6,6.309918278,9.497021944,1304.0,9300.0,31.83,2.013,41.5
Fe92.5Si1.7Al5.8,6.684611728,9.341368634,1266.0,8400.0,28.65,,
Fe90.7Si3.6Al5.7,6.214608098,8.895629627,1506.0,7100.0,36.61,1.953,60.6
Fe89.1Si5.3Al5.7,7.003065459,9.548953173,1020.0,8700.0,26.26,,71.6
Fe88.2Si6.2Al5.6,6.802394763,9.433483923,923.0,7300.0,25.46,,78.5
Fe87.7Si7.3Al5.0,7.098375639,9.655026193,646.0,6800.0,15.92,1.787,86.3
Fe85.9Si8.7Al5.4,7.170119543,10.42376834,477.0,8700.0,11.94,,89.8
Fe84.6Si10.3Al5.2,7.244227516,10.89302875,327.0,9100.0,7.88,1.677,94.2
