avg_Zunger_radii_sum,avg_crystal_radius,avg_group,avg_ionic_radius,avg_l_quantum_number,dev_Mendeleev_Number,sum_Miracle_Radius__pm_,sum_Pauling_Electronegativity,sum_heat_atomization(kJ/mol),sum_specific_heat_(J/g_K)_,target
2.11,0.69,8.0,1.4,2.0,0.0,125.0,1.83,418.0,0.44,2.152
2.10586,0.6882599999999999,8.036,1.3982,1.994,0.2743440000000051,124.91,1.83042,418.204,0.44162,2.133
2.10034,0.68594,8.084,1.3958,1.986,0.6349839999999958,124.79,1.83098,418.476,0.44378,2.119
2.08861,0.6810099999999999,8.186,1.3906999999999998,1.969,1.3817940000000009,124.535,1.83217,419.054,0.44837,2.081
2.0755,0.6755,8.299999999999999,1.3849999999999998,1.95,2.1849999999999987,124.25,1.8335,419.7,0.4534999999999999,2.043
2.06377,0.67057,8.402000000000001,1.3799,1.933,2.875506000000004,123.995,1.83469,420.278,0.45809,1.951
2.05342,0.66622,8.492,1.3754,1.918,3.4626960000000024,123.77,1.83574,420.788,0.46214,1.919
2.03686,0.65926,8.636,1.3682,1.894,4.359144000000002,123.41,1.83742,421.604,0.46862,1.837
2.02375,0.65375,8.75,1.3624999999999998,1.875,5.03125,123.125,1.83875,422.25,0.47375,1.789
2.01409,0.6496899999999999,8.834,1.3582999999999998,1.861,5.505233999999997,122.915,1.83973,422.726,0.47753,1.712
1.98718,0.63838,9.068,1.3465999999999998,1.822,6.730536000000001,122.33,1.84246,424.052,0.48806,1.545
1.96165,0.6276499999999999,9.29,1.3355,1.785,7.763650000000004,121.775,1.84505,425.31,0.49805,1.392
1.93267,0.61547,9.542,1.3229,1.743,8.783746,121.145,1.84799,426.738,0.50939,1.288
2.08564,0.68104,8.28,1.3916,1.944,1.903103999999996,125.896,1.81768,412.848,0.46576,2.013
2.060365,0.6704399999999999,8.501,1.3806500000000002,1.907,3.3631560000000054,125.372,1.81998,413.98,0.47594,1.953
2.03788,0.6608299999999999,8.688,1.3706,1.877,4.523566000000001,124.705,1.82411,415.882,0.48271,1.787
2.016403596403596,0.6518481518481518,8.877122877122877,1.361338661338661,1.8451548451548447,5.580892633839682,124.412,1.8276,417.136,0.49217,1.677
1.9954695304695305,0.6430269730269731,9.05794205794206,1.352197802197802,1.8151848151848151,6.514963557920604,123.931,1.82999,418.2819999999999,0.50008,1.494
