avg_Atomic_Number,avg_heat_of_vaporization_(kJ/mol)_,avg_ionic_radius,dev_1st_ionization_potential_(kJ/mol),dev_Boiling_Point_(K),dev_MB_electonegativity,dev_Number_of_unfilled_d_valence_electrons,dev_ionic_radius,sum_gilmor_number_of_valence_electron,sum_valence_p,target
26.0,349.6,1.4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.5
25.928,349.80772,1.3982,0.2981999999999775,4.711559999999892,0.0036976799999999,0.0715679999999995,0.0035784,4.994,0.012,14.7
25.832,350.08468,1.3958,0.6902000000000221,10.905159999999752,0.00855848,0.1656479999999996,0.0082823999999999,4.986,0.028,23.1
25.628,350.67322,1.3906999999999998,1.5019499999999786,23.7308099999999,0.0186241799999999,0.3604679999999999,0.0180234,4.968999999999999,0.062,31.9
25.4,351.331,1.3849999999999998,2.375,37.52500000000041,0.0294499999999998,0.5699999999999998,0.0285000000000001,4.95,0.1,42.9
25.196,351.91954000000004,1.3799,3.125550000000059,49.38369000000013,0.0387568200000001,0.7501320000000001,0.0375065999999998,4.933,0.134,52.9
25.016,352.43884,1.3754,3.7638000000000575,59.468039999999895,0.0466711200000001,0.903312,0.0451655999999999,4.918,0.164,63.3
24.728,353.26972000000006,1.3682,4.738200000000072,74.86355999999992,0.05875368,1.137168,0.0568583999999998,4.894,0.212,77.0
24.5,353.9275,1.3624999999999998,5.46875,86.40625,0.0678125,1.3125,0.065625,4.875,0.25,84.1
24.332,354.41218000000003,1.3582999999999998,5.983950000000016,94.54641000000017,0.07420098,1.4361479999999998,0.0718074,4.861,0.278,90.4
23.864,355.76236,1.3465999999999998,7.315799999999956,115.58963999999996,0.09071592,1.7557919999999996,0.0877896,4.821999999999999,0.356,95.0
23.42,357.04330000000004,1.3355,8.43875,133.33224999999985,0.1046405,2.0253,0.1012649999999999,4.785,0.43,93.2
22.916,358.49734000000007,1.3229,9.547549999999978,150.85128999999995,0.11838962,2.291412,0.1145705999999999,4.743,0.514,69.1
25.766,348.58840000000004,1.3972999999999998,6.504768000000011,10.004616000000048,0.0010605599999999,0.2121119999999996,0.0053028000000001,4.964,0.018,20.5
25.628,349.54876,1.3927999999999998,4.373807999999927,20.381639999999862,0.0109720799999997,0.3491999999999997,0.013968,4.957999999999999,0.048,28.0
25.348,349.98174,1.3864999999999998,5.8233920000000055,36.25684200000002,0.02212674,0.6022919999999996,0.025569,4.930999999999999,0.09,43.3
25.08,350.3801,1.3804999999999998,7.267800000000061,50.66225000000019,0.0322905,0.8325000000000001,0.036075,4.904999999999999,0.13,54.9
25.010000000000005,350.7694600000001,1.3783999999999998,6.561467999999968,55.10140199999984,0.03666726,0.8932679999999998,0.0397008,4.901000000000001,0.144,59.2
24.9,350.8994,1.376,7.282799999999952,60.62419999999996,0.0404460000000001,0.9828,0.04368,4.89,0.16,63.6
24.75124875124876,351.892087912088,1.3712287712287714,5.137044773408353,70.11383421772975,0.0502982731554162,1.1077114693498316,0.0516215053677588,4.888,0.192,78.3
24.548,352.66456000000005,1.3658,5.293728000000059,81.05855999999967,0.05980608,1.2672,0.0601919999999999,4.868,0.228,84.8
24.209000000000003,353.36146,1.35785,6.499709999999957,96.75311999999984,0.0716125199999998,1.513152,0.0718235999999999,4.837,0.281,92.3
24.077077077077075,353.9282482482482,1.3542042042042042,6.939235531828109,103.27276225174148,0.0774823271720166,1.6059302545789031,0.0770139508878246,4.823,0.305,94.8
23.907,354.04531999999995,1.35065,7.559136000000032,109.87687400000004,0.0817907999999999,1.716852,0.0816248999999999,4.81,0.329,101.4
23.643,354.80696000000006,1.34405,8.429368000000075,120.94480999999978,0.09089748,1.8837,0.0900794999999999,4.788,0.373,97.0
23.427572427572432,355.24283716283725,1.3390109890109894,9.16600682035258,128.98493314876913,0.0970928372326974,2.010105778337547,0.096022658660021,4.773000000000001,0.407,85.9
23.319000000000003,355.74170000000004,1.33595,9.431230000000042,133.4830159999998,0.1012536,2.072592,0.0996617999999999,4.761,0.427,70.3
23.095904095904096,356.57414585414585,1.33001998001998,9.98503993508992,141.85894026053847,0.1085791331545579,2.193530744979297,0.1062633670026277,4.749,0.467,57.7
22.884884884884887,357.0863263263264,1.3249249249249249,10.605796988179431,148.67207147087026,0.1140405670936202,2.298731163596029,0.1113726338951563,4.721,0.5,53.2
22.754,357.27802,1.3219999999999998,11.062573999999982,152.39741800000004,0.11683046,2.359668,0.1140359999999999,4.713,0.52,68.2
25.272,346.4528,1.3916,19.453951999999976,29.92102399999996,0.0031718400000001,0.6343680000000003,0.0158591999999999,4.888,0.056,41.5
24.827,347.64292000000006,1.3806500000000002,19.88296799999997,55.05671400000009,0.0216396000000001,1.012212,0.0351008999999997,4.8500000000000005,0.129,60.6
24.624375624375624,348.2328271728272,1.375574425574425,19.9125489894722,65.91970666695957,0.0312699687924464,1.173771283661393,0.043482890735638,4.838,0.163,71.6
24.528,348.59924000000007,1.373,19.62755199999992,71.1562319999998,0.0362650399999999,1.248912,0.0476279999999999,4.8260000000000005,0.18,78.5
24.474,349.31726000000003,1.3706,17.6625,75.3956900000001,0.04217502,1.2944519999999995,0.0515675999999998,4.827,0.196,86.3
24.254,349.57714,1.3657999999999997,19.03381199999997,85.29354599999995,0.0495290999999999,1.453428,0.0587556000000001,4.805,0.2279999999999999,89.8
24.089910089910088,350.2428171828172,1.361338661338661,18.39106348197256,93.55129585699,0.0575524774925376,1.5704175943936185,0.0653496353796053,4.797999999999999,0.258,94.2
23.849150849150853,350.8437962037963,1.3554945054945051,18.77552218011748,104.17976429165228,0.0667419693193919,1.7311359968702629,0.0734496272957811,4.777,0.297,99.1
23.73126873126873,351.371108891109,1.352197802197802,18.13501184130547,109.71687253805128,0.0722957362318002,1.807902387322968,0.0779352515616252,4.768999999999999,0.319,97.7
23.456,352.44160000000005,1.3448,17.200127999999992,121.62585600000008,0.0837888,1.9768320000000008,0.0874367999999999,4.744,0.368,97.5
23.334,352.60616000000005,1.3421,17.9,125.91763999999986,0.0871651200000002,2.045712,0.0905555999999998,4.732,0.386,91.2
23.069000000000003,353.27698,1.3356499999999998,18.292781999999992,135.4137600000001,0.0956113199999999,2.1888,0.097812,4.709,0.429,69.0
22.867,354.04716,1.3302500000000002,17.658032000000027,142.6961219999998,0.10274784,2.291412,0.1036484999999998,4.694,0.4649999999999999,63.8
23.407592407592404,351.1815784215784,1.3462037962037965,22.168432965635763,120.29590788831568,0.0786732947372307,1.9962854328488688,0.0849130889090927,4.731,0.359,86.5
23.28128128128128,351.4403803803804,1.343243243243243,22.56863470076684,124.92734175617068,0.0827285343401459,2.067388710031352,0.0884019154289424,4.71,0.378,84.1
23.188,351.7155,1.3409,22.57267199999996,128.42855400000013,0.0860540999999999,2.118708,0.0911321999999999,4.707,0.394,75.4
22.983,352.21322,1.33595,22.95344999999996,135.55411999999993,0.09261408,2.225808,0.0965873999999999,4.689,0.427,72.8
24.791,344.37340000000006,1.38605,31.04116799999997,47.74266599999997,0.0050610599999998,1.012212,0.0253052999999999,4.814,0.093,57.8
